SRM,HEX,Red,Green,Blue
1, #F3F993,243,249,147
2, #F5F75C,245,247,92
3, #F6F513,246,245,19
4, #EAE615,234,230,21
5, #E0D01B,224,208,27
6, #D5BC26,213,188,38
7, #CDAA37,205,170,55
8, #C1963C,193,150,60
9, #BE8C3A,190,140,58
10, #BE823A,190,130,58
11, #C17A37,193,122,55
12, #BF7138,191,113,56
13, #BC6733,188,103,51
14, #B26033,178,96,51
15, #A85839,168,88,57
16, #985336,152,83,54
17, #8D4C32,141,76,50
18, #7C452D,124,69,45
19, #6B3A1E,107,58,30
20, #5D341A,93,52,26
21, #4E2A0C,78,42,12
22, #4A2727,74,39,39
23, #361F1B,54,31,27
24, #261716,38,23,22
25, #231716,35,23,22
26, #19100F,25,16,15
27, #16100F,22,16,15
28, #120D0C,18,13,12
29, #100B0A,16,11,10
30, #050B0A,5,11,10
